Src IP,Dest IP,Protocol,Count,Unsecured
10.40.32.128,169.253.128.244,ARP,2,FALSE
10.49.198.238,169.253.128.244,ARP,2,FALSE
10.40.32.183,169.253.128.244,ICMPv6,2,FALSE
10.40.32.136,169.253.128.244,ARP,2,FALSE
10.40.32.194,169.253.128.244,ARP,2,FALSE
10.40.32.53,169.253.128.244,ARP,2,FALSE
10.40.34.253,169.253.128.244,ARP,2,FALSE
10.40.34.31,169.253.128.244,ARP,2,FALSE
10.40.32.1,169.253.128.244,ARP,2,FALSE
10.40.32.205,169.253.128.244,ARP,1,FALSE
10.40.32.109,169.253.128.244,ARP,1,FALSE
10.40.32.105,169.253.128.244,ARP,1,FALSE
10.40.32.151,169.253.128.244,ARP,1,FALSE
10.40.215.91,169.253.128.244,ARP,1,FALSE
10.40.34.124,169.253.128.244,ARP,1,FALSE
10.49.199.253,169.253.128.244,ARP,1,FALSE
192.168.1.100,169.253.128.244,ICMPv6,1,FALSE
192.168.1.100,169.253.128.244,HTTP,1,TRUE
10.40.32.144,169.253.128.244,ARP,1,FALSE
10.40.32.112,169.253.128.244,ARP,1,FALSE
10.40.34.243,169.253.128.244,ARP,1,FALSE
10.40.34.162,169.253.128.244,ARP,1,FALSE
10.40.32.102,169.253.128.244,ARP,1,FALSE
10.40.34.194,169.253.128.244,HTTP,1,TRUE
10.40.32.90,169.253.128.244,ARP,1,FALSE
10.40.32.165,169.253.128.244,ARP,1,FALSE
10.40.32.208,169.253.128.244,ICMPv6,1,FALSE
10.40.32.208,169.253.128.244,HTTP,1,TRUE
10.40.32.208,169.253.128.244,ARP,1,FALSE
10.253.253.231,169.253.128.244,ARP,1,FALSE
10.40.32.69,169.253.128.244,HTTP,1,TRUE
10.40.32.208,169.253.128.244,ICMPv6,1,FALSE
10.40.32.208,169.253.128.244,HTTP,1,TRUE
10.40.32.136,169.253.128.244,ARP,1,FALSE
10.40.34.132,169.253.128.244,ARP,1,FALSE
10.40.34.164,169.253.128.244,ARP,1,FALSE
10.40.32.122,169.253.128.244,ARP,1,FALSE
10.40.32.2,169.253.128.244,ARP,1,FALSE
10.40.32.183,169.253.128.244,ARP,1,FALSE
10.40.32.134,169.253.128.244,ARP,1,FALSE
10.40.34.31,169.253.128.244,HTTP,1,TRUE
10.40.32.160,169.253.128.244,ARP,1,FALSE
10.40.32.105,169.253.128.244,ARP,1,FALSE
10.40.32.146,169.253.128.244,ARP,1,FALSE
10.40.32.252,169.253.14.153,ARP,8,FALSE
10.40.32.115,169.253.14.153,ARP,2,FALSE
10.40.32.1,169.253.14.153,ARP,2,FALSE
